TimeStamp,Name,CPU_CORES,CPU_CORES_LOG,CPU_FREQ,RAM_TOTAL_GB,RAM_AV_GB,RAM_USED_GB,SWAP_TOTAL_GB,SWAP_USED_GB,CPU%,RAM%,RC,WC,RB,WB,dt,accuracy,precision,recall,f1
23:11:23:16:22:48,SS_MobileNet,1,1,2808.002,3.82,1.66,1.83,0.95,0.0,88.38245614035088,56.36491228070173,5.087719298245614,0.4561403508771929,481459.649122807,3449.2631578947367,5.699999999999996,0.65,1.0,0.65,0.7
23:11:23:16:23:37,SS_ConvNeXtTiny,1,1,2808.002,3.82,1.54,1.96,0.95,0.0,80.88259109311741,59.29068825910925,1.562753036437247,0.9554655870445344,151137.42510121458,21972.46963562753,43.70000000000035,0.7,1.0,0.7,0.7666666666666666
23:11:23:16:23:46,SS_EfficientNetB0,1,1,2808.002,3.82,1.51,1.99,0.95,0.0,82.29945054945057,59.39029304029296,1.4908424908424909,0.8901098901098901,146105.67032967033,20089.904761904763,5.1999999999999975,0.75,0.9666666666666668,0.75,0.795
23:11:23:16:23:58,SS_DenseNet121,1,1,2808.002,3.82,1.59,1.91,0.95,0.0,83.65861513687604,59.26505636070869,1.3848631239935587,0.8051529790660226,139844.43156199678,17848.270531400965,7.499999999999989,0.75,1.0,0.75,0.75
23:11:23:16:24:14,SS_NASNetMobile,1,1,2808.002,3.82,1.55,1.95,0.95,0.0,84.82728551336147,59.28101265822818,1.2714486638537272,0.7313642756680732,129481.99156118144,15819.431786216595,8.999999999999984,0.8,1.0,0.8,0.8566666666666667
23:11:23:16:24:28,SS_ResNet50,1,1,2808.002,3.82,1.43,2.08,0.95,0.0,84.04925558312652,59.845533498759615,1.1712158808933002,0.707196029776675,121538.38213399504,14310.590570719603,9.499999999999982,0.55,0.975,0.55,0.6133333333333334
23:11:23:16:24:45,SS_Xception,1,1,2808.002,3.82,1.29,2.21,0.95,0.0,82.41422550052677,60.795890410958926,1.149631190727081,0.6575342465753424,110829.38672286615,12473.59325605901,14.299999999999963,0.8,1.0,0.8,0.8380952380952381
23:11:23:16:24:50,SS_MobileNet,1,1,2808.002,3.82,1.3,2.21,0.95,0.0,82.84816700610985,60.97158859470469,1.1517311608961305,0.6496945010183299,113353.25458248472,12187.894093686356,3.3000000000000016,0.85,1.0,0.85,0.85
23:11:23:16:25:33,SS_ConvNeXtTiny,1,1,2808.002,3.82,1.38,2.13,0.95,0.0,82.72211609110927,61.74680382071995,0.899338721528288,0.7215282880235121,87577.95738427626,10996.902277736956,37.90000000000027,0.8,1.0,0.8,0.8547619047619047
23:11:23:16:25:41,SS_EfficientNetB0,1,1,2808.002,3.82,1.38,2.13,0.95,0.0,83.23055162659098,61.82927864214971,0.8939179632248939,0.7036775106082037,89185.04101838755,10677.408769448371,5.299999999999997,0.7,1.0,0.7,0.7914285714285714
