TimeStamp,Name,CPU_CORES,CPU_CORES_LOG,CPU_FREQ,RAM_TOTAL_GB,RAM_AV_GB,RAM_USED_GB,SWAP_TOTAL_GB,SWAP_USED_GB,CPU%,RAM%,RC,WC,RB,WB,dt,accuracy,precision,recall,f1
23:11:22:21:18:16,SS_EfficientNetV2B2,1,1,2808.002,9.48,7.48,1.65,0.95,0.0,93.37049180327868,21.022404371584663,1.6612021857923498,0.73224043715847,155289.87978142078,6893.814207650274,18.29999999999999,0.8,1.0,0.8,0.8547619047619047
23:11:22:21:20:23,SS_ConvNeXtBase,1,1,2808.002,9.48,7.07,2.06,0.95,0.0,84.00114329268295,24.79611280487869,0.5884146341463414,0.4535060975609756,56332.48780487805,3446.634146341464,112.89999999999786,0.85,1.0,0.85,0.8833333333333332
23:11:22:21:20:36,SS_EfficientNetV2B1,1,1,2808.002,9.48,7.46,1.67,0.95,0.0,84.65619596541787,24.59726224783917,0.5850144092219021,0.4380403458213256,58146.67435158502,3334.6397694524494,7.599999999999989,0.85,1.0,0.85,0.9
23:11:22:21:20:46,SS_EfficientNetV2B0,1,1,2808.002,9.48,7.43,1.7,0.95,0.0,85.14528561596694,24.47157604955329,0.5863730213351687,0.4741913282863042,59463.88437715072,3461.726083964212,6.499999999999993,0.65,1.0,0.65,0.7083333333333333
23:11:22:21:21:11,SS_ResNet101,1,1,2808.002,9.48,7.24,1.89,0.95,0.0,84.87312423124227,24.383333333333795,0.5559655596555966,0.4686346863468634,57923.38499384994,3330.2041820418203,17.299999999999976,0.8,1.0,0.8,0.8664285714285714
23:11:22:21:21:24,SS_EfficientNetB1,1,1,2808.002,9.48,7.38,1.75,0.95,0.0,85.46372147454646,24.32773551784717,0.5523698069046226,0.4698654183733177,58518.39438267993,3345.8256290228205,8.299999999999986,0.55,1.0,0.55,0.6449999999999999
23:11:22:21:25:29,SS_ConvNeXtXLarge,1,1,2808.002,9.48,6.04,3.09,0.95,0.0,89.66847484276722,30.909040880502484,0.2916666666666667,0.3346436058700209,27834.767295597485,2406.507337526205,210.69999999999231,0.8,1.0,0.8,0.8642857142857142
23:11:22:21:26:02,SS_VGG19,1,1,2808.002,9.48,5.47,3.65,0.95,0.0,90.01411881680336,31.532413621674674,0.2856077554064131,0.3507332836191896,27917.554064131244,2549.436738752175,20.700000000000024,0.85,1.0,0.85,0.8666666666666666
23:11:22:21:26:48,SS_EfficientNetB5,1,1,2808.002,9.48,7.14,1.99,0.95,0.0,90.09345047923324,30.943039707895505,0.2708808763121862,0.388407120036513,26896.00730260156,2961.2341396622546,35.90000000000024,0.8,0.975,0.8,0.8464285714285715
23:11:22:21:27:04,SS_EfficientNetB2,1,1,2808.002,9.48,7.31,1.82,0.95,0.0,90.07706381079876,30.764033913430872,0.2737617135207497,0.3871039714413208,27644.80142793396,2946.3418116912094,9.99999999999998,0.85,0.975,0.85,0.8555555555555555
23:11:22:21:27:09,SS_MobileNet,1,1,2808.002,9.48,7.26,1.86,0.95,0.0,90.13980539584256,30.69774436090158,0.2797434763379036,0.391640866873065,28498.08757187085,2956.511278195489,4.000000000000002,0.65,0.9666666666666666,0.65,0.6764285714285714
23:11:22:21:27:23,SS_ResNet50V2,1,1,2808.002,9.48,7.16,1.97,0.95,0.0,90.00805543525344,30.56979211779917,15.879818103074925,2.517756604590732,1507934.6834127328,21427.2776093547,9.599999999999982,0.45,0.95,0.45,0.505
23:11:22:21:27:50,SS_EfficientNetB4,1,1,2808.002,9.48,7.15,1.98,0.95,0.0,90.18866000832304,30.32600915522192,15.266541822721598,2.435705368289638,1450035.1360799002,20679.430711610486,18.8,0.8,0.96,0.8,0.7992063492063493
23:11:22:21:28:51,SS_ConvNeXtTiny,1,1,2808.002,9.48,7.07,2.06,0.95,0.0,88.82832337565362,29.814152352501043,13.70631067961165,2.2410380881254666,1302449.995519044,19127.922330097088,55.00000000000051,0.85,1.0,0.85,0.8880952380952382
23:11:22:21:29:23,SS_InceptionResNetV2,1,1,2808.002,9.48,7.02,2.1,0.95,0.0,88.99294837200951,29.671757510342648,13.213347724410866,2.1669364993703906,1255950.460154704,18498.68249685195,20.30000000000002,0.95,1.0,0.95,0.95
23:11:22:21:29:52,SS_VGG16,1,1,2808.002,9.48,6.5,2.63,0.95,0.0,89.20750043607204,29.755224140937468,12.818942961800104,2.1140763997906853,1218863.288330717,18028.68724925868,17.399999999999977,0.7,1.0,0.7,0.7842857142857144
23:11:22:21:30:02,SS_EfficientNetB0,1,1,2808.002,9.48,6.44,2.68,0.95,0.0,89.26787931034504,29.77989655172321,12.677413793103447,2.095,1205743.7572413792,17867.03448275862,6.699999999999992,0.65,1.0,0.65,0.74
23:11:22:21:32:20,SS_EfficientNetV2L,1,1,2808.002,9.48,6.56,2.57,0.95,0.0,87.17705746462696,29.896274906149,10.621570892289922,1.8112907883338143,1010389.6413514294,15535.939936471268,112.59999999999788,1.0,1.0,1.0,1.0
23:11:22:21:32:42,SS_DenseNet201,1,1,2808.002,9.48,6.48,2.64,0.95,0.0,87.27285734523392,29.92266610001253,10.427114322141946,1.7829720923643575,992209.1446380508,15285.002408273129,13.299999999999969,0.75,1.0,0.75,0.8066666666666666
23:11:22:21:34:12,SS_ConvNeXtSmall,1,1,2808.002,9.48,6.79,2.34,0.95,0.0,86.76855761892757,29.7376748918833,9.366191808700076,1.6350801322818622,891473.404222844,14158.343424065124,80.29999999999971,0.8,0.9625,0.8,0.8374603174603175
23:11:22:21:36:21,SS_EfficientNetB7,1,1,2808.002,9.48,6.55,2.58,0.95,0.0,86.81829227510991,29.922305205661225,8.212573849069223,1.4861219485007249,781886.2664140007,12939.542971798017,110.89999999999796,1.0,1.0,1.0,1.0
23:11:22:21:36:36,SS_InceptionV3,1,1,2808.002,9.48,6.6,2.53,0.95,0.0,86.89855615562779,29.926837870603705,8.124435137220324,1.475035820566516,773660.4977405489,12832.899371762373,10.19999999999998,0.9,0.9666666666666668,0.9,0.8800000000000001
23:11:22:21:37:48,SS_EfficientNetB6,1,1,2808.002,9.48,6.6,2.53,0.95,0.0,87.17455486542565,29.944616977224715,7.634472049689441,1.4165631469979296,727279.9933747412,12455.062525879915,58.70000000000056,0.95,1.0,0.95,0.95
23:11:22:21:38:06,SS_EfficientNetB3,1,1,2808.002,9.48,6.63,2.5,0.95,0.0,87.2602003270658,29.94225265739896,7.541394112837286,1.4009607522485692,718601.8381030253,12321.491414554375,12.399999999999972,0.7,1.0,0.7,0.75
23:11:22:21:39:20,SS_EfficientNetV2M,1,1,2808.002,9.48,6.62,2.51,0.95,0.0,86.69811120747939,29.953319841957427,7.114676688831069,1.347692011178568,678035.8222993158,12008.144164980244,59.30000000000057,1.0,1.0,1.0,1.0
23:11:22:21:39:38,SS_DenseNet121,1,1,2808.002,9.48,6.8,2.33,0.95,0.0,86.73714503525952,29.954402515722528,7.038974652182199,1.3421002477606252,671021.1305507909,11935.93291404612,11.699999999999974,0.65,1.0,0.65,0.67
23:11:22:21:40:08,SS_ResNet152,1,1,2808.002,9.48,6.55,2.58,0.95,0.0,86.85610554879887,29.9737250865532,6.91559839056798,1.3238514082530175,659451.7840366801,11759.471507438944,19.300000000000004,0.85,1.0,0.85,0.9066666666666666
23:11:22:21:40:26,SS_EfficientNetV2B3,1,1,2808.002,9.48,6.4,2.73,0.95,0.0,86.90638652351107,29.9978896704919,6.844224361347649,1.3175675675675675,652780.4753794891,11683.684561273602,11.699999999999974,0.9,1.0,0.9,0.92
23:11:22:21:40:52,SS_ResNet101V2,1,1,2808.002,9.48,6.64,2.48,0.95,0.0,86.81465124749718,29.99847932981217,6.746767437625205,1.3128756146421416,642910.8752504097,11592.030595519942,17.799999999999983,0.85,0.975,0.85,0.8666666666666668
23:11:22:21:41:00,SS_MobileNetV2,1,1,2808.002,9.48,6.57,2.55,0.95,0.0,86.8614812800303,29.99979149669082,6.728401776810806,1.3083129362705104,640520.6795394797,11560.589611096002,4.899999999999999,0.7,1.0,0.7,0.7799999999999999
23:11:22:21:41:30,SS_ResNet152V2,1,1,2808.002,9.48,6.33,2.79,0.95,0.0,86.9771041369485,30.05365549215376,6.621344507845935,1.2932417974322397,630407.8516405135,11414.45934379458,18.5,0.65,0.925,0.65,0.75
23:11:22:21:41:50,SS_DenseNet169,1,1,2808.002,9.48,6.74,2.39,0.95,0.0,87.00625000000126,30.04215444287697,6.549982369534556,1.280765162200282,623741.6530324401,11310.217207334274,12.79999999999997,0.8,1.0,0.8,0.8783333333333333
23:11:22:21:43:02,SS_NASNetLarge,1,1,2808.002,9.48,6.37,2.75,0.95,0.0,86.81200742553503,30.16142097713237,6.274997890473378,1.2477428065142182,597662.0801620117,11194.788625432451,50.70000000000045,0.8,1.0,0.8,0.8466666666666667
23:11:22:21:43:23,SS_NASNetMobile,1,1,2808.002,9.48,6.7,2.43,0.95,0.0,86.91814991226005,30.15721567644325,6.218016211247598,1.2388234311021975,592290.4306843821,11114.340436199547,11.599999999999977,0.75,1.0,0.75,0.7833333333333333
23:11:22:21:47:24,SS_ConvNeXtLarge,1,1,2808.002,9.48,5.91,3.23,0.95,0.0,85.124934215206,31.323618519306983,5.412417324514615,1.101130787283977,508725.0352037551,9939.813100064006,209.3999999999924,0.8,0.975,0.8,0.8614285714285714
23:11:22:21:47:38,SS_ResNet50,1,1,2808.002,9.48,5.81,3.33,0.95,0.0,85.14926901617426,31.376502577863995,5.38441980365845,1.0944981990253548,505578.8640440709,9888.37290769122,9.79999999999998,0.7,1.0,0.7,0.7761904761904762
23:11:22:21:48:08,SS_EfficientNetV2S,1,1,2808.002,9.48,6.59,2.54,0.95,0.0,85.28302924791163,31.36277855153043,5.312256267409471,1.0814763231197773,498922.6072423398,9772.78217270195,20.100000000000016,0.8,1.0,0.8,0.8214285714285715
23:11:22:21:48:28,SS_Xception,1,1,2808.002,9.48,6.49,2.64,0.95,0.0,85.2493080895016,31.371621342511304,5.256798623063683,1.073253012048193,493680.2346299484,9705.75752151463,16.499999999999964,0.8,1.0,0.8,0.82
23:11:22:21:48:41,SS_EfficientNetV2B2,1,1,2808.002,9.48,6.45,2.69,0.95,0.0,85.31765350126703,31.3744404134422,5.229173796974468,1.067971798206585,491221.8210692039,9666.773085084536,8.399999999999986,0.85,1.0,0.85,0.8866666666666667
23:11:22:21:50:44,SS_ConvNeXtBase,1,1,2808.002,9.48,6.21,2.92,0.95,0.0,85.22445364765905,31.559738770308204,4.869767441860465,1.0166294998407135,457563.1291494106,9359.601401720292,108.5999999999981,0.8,1.0,0.8,0.8614285714285714
23:11:22:21:50:57,SS_EfficientNetV2B1,1,1,2808.002,9.48,6.22,2.92,0.95,0.0,85.28397464342362,31.573933438984977,4.847606973058637,1.0133755942947702,455670.5876386688,9332.908019017432,7.999999999999988,0.75,0.95,0.75,0.75
23:11:22:21:51:08,SS_EfficientNetV2B0,1,1,2808.002,9.48,6.17,2.97,0.95,0.0,85.32396642050165,31.588247175408032,4.829325254055419,1.0098466199583411,454107.2554440447,9308.87937890551,6.799999999999992,0.9,1.0,0.9,0.938095238095238
23:11:22:21:51:35,SS_ResNet101,1,1,2808.002,9.48,6.46,2.68,0.95,0.0,85.31315494012017,31.591516966067164,4.775137225548902,1.0044286427145708,449261.2215568862,9254.834331337326,18.9,0.7,1.0,0.7,0.75
23:11:22:21:51:48,SS_EfficientNetB1,1,1,2808.002,9.48,6.4,2.74,0.95,0.0,85.37849829351572,31.59540179956496,4.752776915916848,1.0,447228.9340366119,9222.926217809494,8.299999999999986,0.85,1.0,0.85,0.8880952380952382
23:11:22:21:56:14,SS_ConvNeXtXLarge,1,1,2808.002,9.48,5.44,3.7,0.95,0.5,86.14223253275131,32.90230895196455,4.19514192139738,0.8989082969432315,394121.3903930131,8428.54847161572,220.49999999999176,1.0,1.0,1.0,1.0
23:11:22:21:56:50,SS_VGG19,1,1,2808.002,9.48,6.62,2.53,0.95,0.59,86.27854329646632,33.043609387644224,4.151443215538171,0.8958726733207445,389913.89695171296,8490.774858376046,21.50000000000004,0.75,1.0,0.75,0.8353174603174605
23:11:22:21:57:42,SS_EfficientNetB5,1,1,2808.002,9.48,6.35,2.8,0.95,0.59,86.29155189699765,33.036446625507175,4.067331539232758,0.8900321882750251,381681.9916627091,8596.174977573743,41.60000000000032,0.9,1.0,0.9,0.9414285714285716
23:11:22:21:57:58,SS_EfficientNetB2,1,1,2808.002,9.48,6.41,2.73,0.95,0.59,86.31970818243856,33.0316065711429,4.047971448065922,0.886369600587834,379930.6036844591,8566.493885477352,10.19999999999998,0.75,1.0,0.75,0.8447619047619048
23:11:22:21:58:05,SS_MobileNet,1,1,2808.002,9.48,7.11,2.03,0.95,0.59,86.34522849814175,33.0112286028365,4.0403078050567975,0.8847301470973146,379262.0903523007,8559.0811914359,4.999999999999998,0.8,1.0,0.8,0.8780952380952382
23:11:22:21:58:20,SS_ResNet50V2,1,1,2808.002,9.48,7.02,2.12,0.95,0.59,86.35197104619073,32.97455605894845,4.026037598291934,0.8815289277717023,377606.5989689111,8533.28000833203,9.99999999999998,0.65,1.0,0.65,0.7297619047619047
23:11:22:21:58:47,SS_EfficientNetB4,1,1,2808.002,9.48,6.85,2.3,0.95,0.59,86.44056297365576,32.91926586585468,3.987936278806001,0.8753931020260866,374111.6453059752,8483.832345208022,19.40000000000001,0.9,1.0,0.9,0.9428571428571428
23:11:22:21:59:47,SS_ConvNeXtTiny,1,1,2808.002,9.48,6.77,2.38,0.95,0.59,86.20441390379693,32.80037116918195,3.881928073431309,0.8665295681396399,364242.0954005117,8556.052364949592,54.0000000000005,0.95,1.0,0.95,0.972222222222222
23:11:22:22:00:20,SS_InceptionResNetV2,1,1,2808.002,9.48,6.86,2.29,0.95,0.59,86.26995235259078,32.74590033750137,3.843756204089736,0.8615247170935081,360708.1167361525,8534.756402620607,21.10000000000003,0.85,1.0,0.85,0.8949999999999999
23:11:22:22:00:51,SS_VGG16,1,1,2808.002,9.48,6.09,3.06,0.95,0.59,86.34879307801968,32.772906936727594,3.809645543483605,0.8579224226930829,357550.6352686692,8521.838651000442,19.300000000000004,0.8,0.95,0.8,0.8414285714285714
23:11:22:22:01:01,SS_EfficientNetB0,1,1,2808.002,9.48,6.31,2.83,0.95,0.59,86.37765092120726,32.774191493530715,3.799784398275186,0.8558408467267739,356620.44374755,8509.516268130144,6.699999999999992,0.8,1.0,0.8,0.8166666666666668
23:11:22:22:03:20,SS_EfficientNetV2L,1,1,2808.002,9.48,6.38,2.77,0.95,0.59,85.9309010682766,32.73930794240446,3.6119368323269856,0.8254528564793312,338343.9635856944,8373.494844403158,112.1999999999979,0.95,1.0,0.95,0.95
23:11:22:22:03:43,SS_DenseNet201,1,1,2808.002,9.48,6.87,2.28,0.95,0.59,85.98799778505813,32.70639564394672,3.5904665220801992,0.821097318997739,336386.0082137419,8335.646347653546,14.099999999999966,0.75,1.0,0.75,0.7916666666666666
23:11:22:22:05:06,SS_ConvNeXtSmall,1,1,2808.002,9.48,6.61,2.53,0.95,0.59,85.99973207109016,32.62764133249891,3.477672590872555,0.8078503170492096,325814.9975886398,8368.321514691435,72.30000000000017,1.0,1.0,1.0,1.0
23:11:22:22:07:15,SS_EfficientNetB7,1,1,2808.002,9.48,6.39,2.76,0.95,0.59,86.13968692841001,32.61529201582246,3.408864690118678,0.7907184482538602,312129.08622229786,8307.341018333404,111.49999999999794,0.9,1.0,0.9,0.9
23:11:22:22:07:31,SS_InceptionV3,1,1,2808.002,9.48,6.5,2.64,0.95,0.59,86.17535888206606,32.609955536733985,3.395511327546051,0.7884818970993013,310937.91437645565,8287.396993436376,10.599999999999978,0.95,1.0,0.95,0.9666666666666668
23:11:22:22:08:42,SS_EfficientNetB6,1,1,2808.002,9.48,6.18,2.96,0.95,0.59,86.32621595933668,32.66476713913696,3.3155502293483203,0.7804454729534278,303650.635480805,8362.278771850077,58.40000000000056,0.9,1.0,0.9,0.9166666666666666
23:11:22:22:09:01,SS_EfficientNetB3,1,1,2808.002,9.48,6.68,2.47,0.95,0.59,86.36721621510453,32.647337910618624,3.30053858487851,0.7774123257821814,302376.42659211444,8335.477038194302,12.399999999999972,0.9,1.0,0.9,0.9
23:11:22:22:10:15,SS_EfficientNetV2M,1,1,2808.002,9.48,6.4,2.75,0.95,0.59,86.15330336356989,32.632969414785954,3.2365738139198843,0.7722565625752589,295899.0087501003,8423.154210484065,59.10000000000057,0.8,1.0,0.8,0.825
23:11:22:22:10:33,SS_DenseNet121,1,1,2808.002,9.48,6.74,2.4,0.95,0.59,86.16642697347314,32.61599153083958,3.222754873761585,0.7708932566315116,294674.9811441355,8404.392457654203,11.799999999999974,0.85,1.0,0.85,0.9095238095238096
23:11:22:22:11:04,SS_ResNet152,1,1,2808.002,9.48,6.48,2.66,0.95,0.63,86.22122869599599,32.60814110186195,3.200039635354736,0.8441141498216409,292588.09227110585,8995.939437177964,19.80000000000001,0.75,1.0,0.75,0.7999999999999999
23:11:22:22:11:23,SS_EfficientNetV2B3,1,1,2808.002,9.48,6.41,2.74,0.95,0.63,86.25074756400561,32.60591739319014,3.1862006390784647,0.8415322103436033,291388.41232395754,8971.805751706182,11.899999999999974,0.8,1.0,0.8,0.8533333333333333
23:11:22:22:11:51,SS_ResNet101V2,1,1,2808.002,9.48,6.59,2.55,0.95,0.66,86.23638784461065,32.59226973684144,3.1652960526315788,0.8407738095238095,289466.30576441105,8945.563909774437,18.7,0.8,1.0,0.8,0.8699999999999999
23:11:22:22:11:59,SS_MobileNetV2,1,1,2808.002,9.48,6.57,2.58,0.95,0.66,86.26093633983264,32.58832701551372,3.1699949196920554,0.840009379030052,289225.9567783032,8943.362851225136,5.299999999999997,0.8,1.0,0.8,0.8414285714285714
23:11:22:22:12:30,SS_ResNet152V2,1,1,2808.002,9.48,6.31,2.83,0.95,0.66,86.30852111856557,32.593720668656864,3.151456385990769,0.851568863204437,287367.76946049725,9032.074777954464,19.40000000000001,0.7,1.0,0.7,0.7630952380952382
23:11:22:22:12:50,SS_DenseNet169,1,1,2808.002,9.48,6.23,2.92,0.95,0.66,86.33495966341049,32.60148994480179,3.138109391284209,0.8483421469101016,286212.40714864706,9004.654494924152,12.399999999999972,0.85,1.0,0.85,0.8964285714285716
23:11:22:22:14:10,SS_NASNetLarge,1,1,2808.002,9.48,6.24,2.9,0.95,0.7,86.20143520791507,32.62450428673883,3.1911470332741625,0.8556482985232466,282812.19292215887,9647.111077538995,57.00000000000054,0.85,1.0,0.85,0.8880952380952379
23:11:22:22:14:33,SS_NASNetMobile,1,1,2808.002,9.48,6.65,2.49,0.95,0.7,86.25904443274815,32.62137433275631,3.177655815352229,0.8531313435080069,281701.0065408616,9619.949176753627,12.499999999999972,0.8,1.0,0.8,0.8380952380952381
23:11:22:22:18:31,SS_ConvNeXtLarge,1,1,2808.002,9.48,6.03,3.12,0.95,0.93,85.43458188153059,32.88702787456483,3.0250522648083624,0.8085714285714286,263222.0186759582,9230.699930313587,209.7999999999924,0.75,1.0,0.75,0.840079365079365
23:11:22:22:18:46,SS_ResNet50,1,1,2808.002,9.48,5.97,3.18,0.95,0.93,85.45598027982948,32.901912995174506,3.01791480054161,0.8068951150921779,262487.7864111377,9214.18685553588,10.29999999999998,0.65,1.0,0.65,0.7333333333333333
23:11:22:22:19:13,SS_EfficientNetV2S,1,1,2808.002,9.48,5.84,3.31,0.95,0.93,85.51778743361365,32.93906131457374,3.001241464928616,0.8039519966894269,260940.4698255052,9174.5427960549,19.500000000000007,1.0,1.0,1.0,1.0
23:11:22:22:19:33,SS_Xception,1,1,2808.002,9.48,5.72,3.43,0.95,0.93,85.51613323727926,32.97621693938476,2.9882336798051523,0.8005214229357484,259760.32218448765,9141.564954890056,15.299999999999962,0.95,1.0,0.95,0.97
23:11:22:22:19:50,SS_EfficientNetV2B2,1,1,2808.002,9.48,6.79,2.36,0.95,0.93,85.55414145557472,32.960051960483,2.979113253341537,0.799644480907941,259025.408402557,9129.29272211397,10.19999999999998,0.9,1.0,0.9,0.9214285714285716
23:11:22:22:21:52,SS_ConvNeXtBase,1,1,2808.002,9.48,6.37,2.77,0.95,0.92,85.53670435441593,32.94439133731091,2.896199360516861,0.7930250189537529,250470.7982991067,9371.775455714143,108.39999999999812,0.9,1.0,0.9,0.9
