TimeStamp,Name,CPU_CORES,CPU_CORES_LOG,CPU_FREQ,RAM_TOTAL_GB,RAM_AV_GB,RAM_USED_GB,SWAP_TOTAL_GB,SWAP_USED_GB,CPU%,RAM%,RC,WC,RB,WB,dt,PRED
23:10:27:14:26:37,SS_VGG19,4,4,2808.004,11.68,5.63,5.64,0.95,0.0,40.13408071748882,40.76053811659187,0.0582959641255605,1.336322869955157,367.3542600896861,7273.614349775785,0.5,True
23:10:27:14:26:47,SS_EfficientNetB5,4,4,2808.004,11.68,6.97,4.29,0.95,0.0,40.20038759689923,40.64922480620154,0.065891472868217,1.302325581395349,2349.6434108527133,9620.837209302326,3.5000000000000018,True
23:10:27:14:28:05,ResNet50,4,4,2808.004,11.68,7.71,3.56,0.95,0.0,29.890000000000004,33.71999999999999,0.2,0.0,1638.4,0.0,1.0,True
23:10:27:14:28:11,SS_EfficientNetV2B2,4,4,2808.004,11.68,7.75,3.52,0.95,0.0,33.55862068965517,33.603448275862064,0.0689655172413793,0.7931034482758621,564.9655172413793,3389.793103448276,1.9000000000000008,True
23:10:27:14:28:25,SS_ConvNeXtBase,4,4,2808.004,11.68,7.4,3.87,0.95,0.0,35.98780487804878,35.609756097560975,43.24390243902439,8.304878048780488,564948.2926829269,49002.14634146341,5.299999999999997,True
23:10:27:14:28:29,SS_EfficientNetV2B0,4,4,2808.004,11.68,7.43,3.85,0.95,0.0,35.65979381443299,35.73711340206187,36.55670103092783,7.350515463917525,477585.1546391753,42944.65979381443,1.5000000000000002,True
23:10:27:14:28:36,SS_ResNet101,4,4,2808.004,11.68,7.2,4.07,0.95,0.0,36.114782608695656,36.16000000000002,68.85217391304347,12.68695652173913,835014.1217391305,74440.34782608696,1.8000000000000005,True
23:10:27:14:28:42,SS_EfficientNetB1,4,4,2808.004,11.68,7.54,3.73,0.95,0.0,35.83834586466167,36.10375939849629,59.53383458646616,11.270676691729324,722004.6917293234,67753.38345864661,1.8000000000000005,True
23:10:27:14:29:13,SS_ConvNeXtXLarge,4,4,2808.004,11.68,6.11,5.16,0.95,0.0,39.799086757990885,40.78812785388136,36.17351598173516,7.378995433789954,438552.5479452055,45523.5799086758,8.599999999999985,True
23:10:27:14:29:16,SS_VGG19,4,4,2808.004,11.68,5.62,5.66,0.95,0.0,40.258035714285725,41.05491071428578,35.36607142857143,7.214285714285714,428763.4285714286,44507.42857142857,0.5,True
23:10:27:14:29:27,SS_EfficientNetB5,4,4,2808.004,11.68,6.96,4.3,0.95,0.0,41.310305343511445,40.87557251908402,71.26717557251908,12.263358778625957,662645.251908397,80997.61832061068,3.800000000000002,True
23:10:27:14:29:33,SS_EfficientNetB2,4,4,2808.004,11.68,7.49,3.78,0.95,0.0,40.84107142857142,40.55928571428574,66.68571428571428,11.517857142857142,620046.6285714286,76053.94285714286,1.8000000000000005,True
23:10:27:14:31:16,ResNet50,4,4,2808.004,11.68,7.63,3.61,0.95,0.0,30.95,34.42,0.0,0.0,0.0,0.0,1.0,True
23:10:27:14:31:22,SS_EfficientNetV2B2,4,4,2808.004,11.68,7.73,3.54,0.95,0.0,35.56206896551725,34.07586206896549,0.0,0.4137931034482758,0.0,2259.862068965517,1.9000000000000008,True
23:10:27:14:31:33,SS_ConvNeXtBase,4,4,2808.004,11.68,7.38,3.9,0.95,0.0,40.28720930232558,35.9244186046511,0.0232558139534883,0.4883720930232558,95.25581395348836,2952.93023255814,5.699999999999996,True
23:10:27:14:31:38,SS_EfficientNetV2B0,4,4,2808.004,11.68,7.38,3.87,0.95,0.0,40.95098039215687,36.04999999999993,0.1764705882352941,6.519607843137255,2730.6666666666665,44815.05882352941,1.6000000000000003,True
23:10:27:14:31:44,SS_ResNet101,4,4,2808.004,11.68,7.18,4.09,0.95,0.0,41.01983471074381,36.46363636363629,0.1487603305785124,5.644628099173554,2301.884297520661,38793.52066115703,1.9000000000000008,True
23:10:27:14:31:51,SS_EfficientNetB1,4,4,2808.004,11.68,7.49,3.76,0.95,0.0,41.70425531914895,36.40921985815596,0.1276595744680851,5.035460992907802,1975.3758865248224,34394.78014184397,2.0000000000000004,True
23:10:27:14:32:13,SS_ConvNeXtXLarge,4,4,2808.004,11.68,6.13,5.15,0.95,0.0,51.849173553719,41.34586776859498,0.3636363636363636,10.301652892561984,6888.727272727273,111269.02479338842,10.09999999999998,True
23:10:27:14:32:22,SS_VGG19,4,4,2808.004,11.68,5.62,5.65,0.95,0.0,52.00161943319837,41.57692307692301,0.3562753036437247,10.093117408906885,6749.27935222672,109016.6153846154,0.5,True
23:10:27:14:32:32,SS_EfficientNetB5,4,4,2808.004,11.68,6.97,4.29,0.95,0.0,51.14,41.35052631578943,0.3087719298245614,8.807017543859649,5849.375438596491,94912.2245614035,3.800000000000002,True
23:10:27:14:32:39,SS_EfficientNetB2,4,4,2808.004,11.68,7.44,3.81,0.95,0.0,51.080906148867314,40.95177993527506,0.284789644012945,8.546925566343042,5395.05501618123,101432.33656957927,2.400000000000001,True
23:10:27:14:32:43,SS_MobileNet,4,4,2808.004,11.68,7.36,3.89,0.95,0.0,50.83980891719745,40.8904458598726,0.2802547770700637,8.410828025477707,5309.146496815287,99817.1719745223,0.5,True
23:10:27:14:32:58,SS_ResNet50V2,4,4,2808.004,11.68,7.14,4.11,0.95,0.0,50.44705882352941,40.83034055727554,0.2724458204334365,8.176470588235293,5161.213622291021,97035.88854489164,0.8999999999999999,True
23:10:27:14:35:13,ResNet50,4,4,2808.004,11.68,7.66,3.57,0.95,0.0,38.97272727272728,34.21818181818181,0.0,0.0,0.0,0.0,1.1,True
23:10:27:14:35:24,SS_EfficientNetV2B2,4,4,2808.004,11.68,7.71,3.53,0.95,0.0,37.50333333333333,34.076666666666654,0.0,2.5,0.0,14745.6,1.9000000000000008,True
23:10:27:14:35:43,SS_EfficientNetV2B2,4,4,2808.004,11.68,7.75,3.5,0.95,0.0,36.332,33.924,0.0,1.74,0.0,10158.08,2.0000000000000004,True
23:10:27:14:35:54,SS_ConvNeXtBase,4,4,2808.004,11.68,7.34,3.92,0.95,0.0,36.7875,35.51153846153845,0.0,2.1153846153846154,0.0,15044.923076923076,5.399999999999997,True
23:10:27:14:35:58,SS_EfficientNetV2B0,4,4,2808.004,11.68,7.36,3.9,0.95,0.0,36.74117647058824,35.69495798319327,0.0,1.949579831932773,0.0,13768.067226890757,1.5000000000000002,True
23:10:27:14:36:04,SS_ResNet101,4,4,2808.004,11.68,7.18,4.08,0.95,0.0,38.89855072463768,36.09855072463767,0.1304347826086956,14.485507246376812,2374.4927536231885,102459.36231884058,1.9000000000000008,True
