TimeStamp,Name,CPU_CORES,CPU_CORES_LOG,CPU_FREQ,RAM_TOTAL_GB,RAM_AV_GB,RAM_USED_GB,SWAP_TOTAL_GB,SWAP_USED_GB,CPU%,RAM%,RC,WC,RB,WB,dt,accuracy,precision,recall,f1
23:10:30:00:59:33,SS_EfficientNetV2B1,4,4,2808.002,17.27,13.01,3.85,0.95,0.0,56.85730287722379,22.605315176806247,11.329233472435757,6.8181418844717765,1057269.9916538545,67684.30836810893,8.499999999999986,0.85,1.0,0.85,0.9047619047619048
23:10:30:01:02:08,SS_ResNet50,4,4,2808.002,17.27,13.68,3.15,0.95,0.0,81.98596491228069,20.975438596491266,0.3508771929824561,0.631578947368421,47283.649122807015,6179.929824561404,11.399999999999975,0.75,1.0,0.75,0.8261904761904763
23:10:30:01:02:26,SS_EfficientNetV2B2,4,4,2808.002,17.27,13.72,3.14,0.95,0.0,77.51674418604651,20.78790697674423,0.3627906976744186,0.8325581395348837,51704.85581395349,7087.032558139535,10.09999999999998,0.85,1.0,0.85,0.9
23:10:30:01:03:35,SS_ResNet50,4,4,2808.002,17.27,13.74,3.1,0.95,0.0,79.29069767441858,20.61744186046511,0.4651162790697674,0.7558139534883721,67536.37209302325,6572.6511627906975,8.599999999999985,0.7,0.9,0.7,0.7666666666666666
23:10:30:01:05:56,SS_ResNet50,4,4,2808.002,17.27,13.68,3.16,0.95,0.0,62.92452830188681,20.998113207547146,0.7169811320754716,0.9245283018867924,106032.30188679244,8655.698113207547,5.299999999999997,0.85,0.95,0.85,0.8914285714285715
23:10:30:01:06:07,SS_EfficientNetV2B2,4,4,2808.002,17.27,13.66,3.19,0.95,0.0,64.23801652892564,20.80247933884298,0.6446280991735537,2.289256198347108,93767.93388429753,17805.752066115703,6.799999999999992,0.7,0.9,0.7,0.7780952380952382
23:10:30:01:06:29,SS_ResNet50,4,4,2808.002,17.27,13.65,3.18,0.95,0.0,60.42407407407407,21.04444444444444,0.6666666666666666,0.3888888888888889,96180.14814814816,3185.777777777778,5.399999999999997,0.55,0.8166666666666667,0.55,0.605
23:10:30:01:08:29,SS_ResNet50,4,4,2808.002,17.27,13.72,3.1,0.95,0.0,65.89310344827587,20.662068965517232,0.6206896551724138,0.7241379310344828,109179.58620689657,8333.241379310344,5.799999999999995,0.85,1.0,0.85,0.8875
23:10:30:01:12:56,SS_ResNet50,4,4,2808.002,17.27,13.7,3.14,0.95,0.0,76.10459770114944,20.901149425287382,0.4597701149425287,1.3563218390804597,65724.32183908045,24764.32183908046,8.699999999999985,0.8,1.0,0.8,0.8166666666666667
23:10:30:01:13:09,SS_EfficientNetV2B2,4,4,2808.002,17.27,13.69,3.17,0.95,0.0,74.65030303030305,20.77999999999997,0.4727272727272727,1.084848484848485,72536.43636363637,16830.836363636365,7.799999999999988,1.0,1.0,1.0,1.0
23:10:30:01:14:20,SS_ConvNeXtBase,4,4,2808.002,17.27,13.31,3.55,0.95,0.0,67.35416666666664,22.459722222222155,0.1489898989898989,1.0580808080808082,22910.70707070707,8895.353535353535,62.70000000000062,0.9,1.0,0.9,0.94
23:10:30:01:14:34,SS_EfficientNetV2B1,4,4,2808.002,17.27,13.27,3.59,0.95,0.0,67.67494279176198,22.5146453089244,0.1807780320366132,1.0389016018306636,27012.979405034326,8510.681922196796,8.199999999999987,0.95,1.0,0.95,0.97
23:10:30:17:03:09,SS_ResNet50,2,2,2808.0,3.82,1.67,1.78,0.95,0.0,73.0952380952381,57.158730158730194,4.666666666666667,1.6666666666666667,424813.7142857143,11442.79365079365,6.299999999999994,0.55,1.0,0.55,0.6678571428571429
23:10:30:17:03:16,SS_ResNet50,2,2,2808.0,3.82,1.67,1.81,0.95,0.0,74.02870370370366,56.73981481481486,3.092592592592593,1.2222222222222223,301814.51851851854,8419.555555555555,4.5,0.7,1.0,0.7,0.7214285714285714
23:10:30:17:03:22,SS_ResNet50,2,2,2808.0,3.82,1.58,1.91,0.95,0.0,74.3682119205298,57.36887417218549,2.4768211920529803,1.6622516556291391,254494.5165562914,9439.788079470198,4.300000000000001,0.65,1.0,0.65,0.7164285714285714
23:10:30:17:03:28,SS_ResNet50,2,2,2808.0,3.82,1.44,2.05,0.95,0.0,74.4066666666667,58.47384615384612,2.112820512820513,1.4,228577.8051282052,8065.969230769231,4.4,0.7,0.95,0.7,0.8095238095238095
23:10:30:17:03:35,SS_ResNet50,2,2,2808.0,3.82,1.66,1.83,0.95,0.0,74.06610878661093,58.23347280334725,2.0376569037656904,1.2761506276150627,209118.7949790795,7472.200836820084,4.4,0.8,1.0,0.8,0.8214285714285715
23:10:30:17:03:41,SS_ResNet50,2,2,2808.0,3.82,1.55,1.95,0.95,0.0,73.87928571428581,58.62535714285709,1.875,1.0892857142857142,193653.0285714286,6378.057142857143,4.100000000000001,0.75,1.0,0.75,0.8164285714285715
23:10:30:17:03:48,SS_ResNet50,2,2,2808.0,3.82,1.39,2.1,0.95,0.0,74.80060060060075,59.3987987987987,1.720720720720721,0.927927927927928,181331.02702702704,5412.132132132132,5.299999999999997,0.8,1.0,0.8,0.85
23:10:30:17:03:58,SS_ResNet50,2,2,2808.0,3.82,1.6,1.91,0.95,0.0,75.18535353535373,59.64040404040397,1.553030303030303,0.8156565656565656,167087.8383838384,5006.222222222223,6.299999999999994,0.75,1.0,0.75,0.8447619047619049
23:10:30:17:04:06,SS_ResNet50,2,2,2808.0,3.82,1.51,2.0,0.95,0.0,75.1591111111113,59.697555555555525,1.4555555555555555,0.7844444444444445,158560.7111111111,4878.791111111111,5.399999999999997,0.65,0.9625,0.65,0.6585714285714286
23:10:30:17:04:14,SS_ResNet50,2,2,2808.0,3.82,1.39,2.12,0.95,0.0,75.02948207171329,60.1298804780876,1.3725099601593624,0.7370517928286853,150785.01992031874,4585.561752988047,5.1999999999999975,0.7,1.0,0.7,0.7714285714285715
23:10:30:17:04:21,SS_ResNet50,2,2,2808.0,3.82,1.58,1.93,0.95,0.0,75.02050359712241,60.41115107913661,1.4370503597122302,0.6924460431654677,147721.2086330935,4493.812949640288,5.399999999999997,0.85,1.0,0.85,0.8833333333333334
23:10:30:17:04:29,SS_ResNet50,2,2,2808.0,3.82,1.48,2.03,0.95,0.0,74.85584843492589,60.4800658978582,1.3756177924217463,0.871499176276771,143218.2932454695,5438.840197693575,5.099999999999998,0.6,0.95,0.6,0.6214285714285714
23:10:30:17:04:36,SS_ResNet50,2,2,2808.0,3.82,1.36,2.15,0.95,0.0,75.00639269406392,60.8914764079146,26.671232876712327,4.998477929984779,1788455.744292237,34488.69406392694,4.999999999999998,0.8,1.0,0.8,0.8
23:10:30:17:04:46,SS_ResNet50,2,2,2808.0,3.82,1.53,1.97,0.95,0.0,74.84557823129246,61.46829931972765,23.897959183673468,4.522448979591837,1604779.3632653062,31341.36598639456,7.799999999999988,0.75,1.0,0.75,0.805
23:10:30:17:04:54,SS_ResNet50,2,2,2808.0,3.82,1.44,2.07,0.95,0.0,74.73240152477756,61.522871664548816,22.364675984752225,4.252858958068615,1506448.4269377382,29457.89072426938,5.1999999999999975,0.65,1.0,0.65,0.7214285714285714
