TimeStamp,Name,CPU_CORES,CPU_CORES_LOG,CPU_FREQ,RAM_TOTAL_GB,RAM_AV_GB,RAM_USED_GB,SWAP_TOTAL_GB,SWAP_USED_GB,CPU%,RAM%,RC,WC,RB,WB,dt,accuracy,precision,recall,f1
23:11:23:19:46:03,SS_MobileNet,2,2,2808.002,1.92,0.4,1.25,0.95,0.28,63.440909090909095,78.77727272727272,21.84090909090909,68.06818181818181,862859.6363636364,547002.1818181818,4.4,0.8,0.975,0.8,0.8428571428571429
23:11:23:19:46:40,SS_ConvNeXtTiny,2,2,2808.002,1.92,0.39,1.29,0.95,0.39,63.16524390243914,78.77408536585355,80.11585365853658,270.5975609756098,4241020.87804878,2178247.8048780486,28.400000000000134,0.95,1.0,0.95,0.97
23:11:23:19:46:47,SS_EfficientNetB0,2,2,2808.002,1.92,0.36,1.32,0.95,0.41,63.97002724795655,78.98528610354217,71.95912806539509,248.57765667574927,3807884.904632153,2000856.9373297,3.900000000000002,0.85,1.0,0.85,0.8699999999999999
23:11:23:19:46:56,SS_DenseNet121,2,2,2808.002,1.92,0.47,1.22,0.95,0.42,64.43627684964218,78.68400954653934,63.2673031026253,217.75894988066827,3355445.155131265,1752794.7303102624,5.1999999999999975,0.75,1.0,0.75,0.8247619047619047
23:11:23:19:47:08,SS_NASNetMobile,2,2,2808.002,1.92,0.42,1.27,0.95,0.42,64.36221294363277,78.5156576200418,55.5678496868476,190.70772442588728,2952121.45302714,1534486.446764092,5.999999999999995,0.95,1.0,0.95,0.9666666666666666
23:11:23:19:47:18,SS_ResNet50,2,2,2808.002,1.92,0.39,1.29,0.95,0.51,64.67642585551349,78.84752851711035,51.39923954372624,176.0361216730038,2711528.63878327,1416484.0152091256,4.699999999999999,0.7,1.0,0.7,0.7166666666666666
23:11:23:19:47:32,SS_Xception,2,2,2808.002,1.92,0.3,1.39,0.95,0.55,65.09043624161089,79.60335570469806,100.47147651006712,370.0352348993289,5772518.22818792,2973187.436241611,6.999999999999991,0.95,1.0,0.95,0.97
23:11:23:19:47:37,SS_MobileNet,2,2,2808.002,1.92,0.27,1.41,0.95,0.55,64.89807073954995,79.84180064308691,150.36816720257235,560.3086816720257,8868682.906752411,4500292.321543409,2.600000000000001,0.85,1.0,0.85,0.8833333333333332
23:11:23:19:48:15,SS_ConvNeXtTiny,2,2,2808.002,1.92,0.43,1.26,0.95,0.58,60.180534759358274,78.6654545454547,104.38181818181818,372.9347593582888,6111783.974331551,2995222.9989304813,31.30000000000017,0.85,1.0,0.85,0.8914285714285715
23:11:23:19:48:21,SS_EfficientNetB0,2,2,2808.002,1.92,0.43,1.25,0.95,0.59,60.47602880658432,78.64537037037043,100.54526748971192,361.9454732510288,5887157.2016460905,2906811.522633745,3.700000000000002,0.85,1.0,0.85,0.9047619047619048
23:11:23:19:48:30,SS_DenseNet121,2,2,2808.002,1.92,0.53,1.16,0.95,0.59,60.81814634146335,78.33834146341465,95.48780487804878,343.2692682926829,5590556.472195122,2756755.855609756,5.299999999999997,0.8,1.0,0.8,0.8733333333333334
23:11:23:19:48:43,SS_NASNetMobile,2,2,2808.002,1.92,0.49,1.2,0.95,0.59,61.08924632352932,78.03823529411768,90.01930147058823,323.43474264705884,5274797.176470588,2597376.0,6.299999999999994,0.75,0.9625,0.75,0.7902380952380953
23:11:23:19:48:53,SS_ResNet50,2,2,2808.002,1.92,0.51,1.18,0.95,0.72,61.41565523306936,77.95364995602473,125.86719437115217,464.1310466138962,7660972.693051891,3726012.678979771,4.899999999999999,0.65,1.0,0.65,0.738095238095238
23:11:23:19:49:03,SS_Xception,2,2,2808.002,1.92,0.42,1.27,0.95,0.76,62.16569282136879,77.93881469115196,159.06928213689483,596.1360601001669,9919809.388981637,4784230.570951586,6.099999999999994,0.9,1.0,0.9,0.9428571428571428
23:11:23:19:49:08,SS_MobileNet,2,2,2808.002,1.92,0.66,1.03,0.95,0.76,62.16955102040796,77.67191836734696,194.83102040816323,735.2187755102041,12334844.029387755,5899370.161632653,2.700000000000001,0.7,1.0,0.7,0.7966666666666666
23:11:23:19:49:37,SS_ConvNeXtTiny,2,2,2808.002,1.92,0.54,1.16,0.95,0.79,61.95671438309429,76.60197682344953,197.55623721881392,747.745057941377,12695679.040218132,5996538.415814588,24.20000000000008,0.8,1.0,0.8,0.85
23:11:23:19:49:45,SS_EfficientNetB0,2,2,2808.002,1.92,0.64,1.05,0.95,0.79,62.055224867724384,76.3843915343919,191.75,725.4986772486773,12322274.2010582,5818172.952380952,4.5,0.9,1.0,0.9,0.9166666666666666
23:11:23:19:49:54,SS_DenseNet121,2,2,2808.002,1.92,0.6,1.09,0.95,0.79,62.25745361484275,76.12699936020506,219.1465131158029,827.4606525911709,14261006.904670505,6633423.518873961,5.099999999999998,0.8,1.0,0.8,0.8428571428571429
23:11:23:19:50:06,SS_NASNetMobile,2,2,2808.002,1.92,0.6,1.09,0.95,0.79,62.43799261083695,75.80492610837473,211.07450738916256,796.3916256157636,13730274.36453202,6384397.871921183,6.099999999999994,0.85,1.0,0.85,0.8800000000000001
23:11:23:19:50:17,SS_ResNet50,2,2,2808.002,1.92,0.57,1.13,0.95,0.84,62.763827234552586,75.72225554889054,205.71385722855428,776.0305938812238,13379207.448110376,6220774.814637072,4.300000000000001,0.75,1.0,0.75,0.7880952380952381
23:11:23:19:50:28,SS_Xception,2,2,2808.002,1.92,0.59,1.11,0.95,0.86,63.216416184970576,75.43716763005807,198.8479768786127,747.7826589595376,12899365.29017341,5994379.986127168,6.299999999999994,0.75,1.0,0.75,0.7866666666666666
23:11:23:19:50:32,SS_MobileNet,2,2,2808.002,1.92,0.61,1.08,0.95,0.86,63.2427758816832,75.31871444823688,195.78612059158127,735.8725824800911,12698017.638225256,5898906.357224118,2.800000000000001,0.7,1.0,0.7,0.7333333333333333
23:11:23:19:51:02,SS_ConvNeXtTiny,2,2,2808.002,1.92,0.49,1.2,0.95,0.89,62.920189905046925,75.07996001998973,206.93403298350825,761.2423788105947,13383423.616191903,6098381.081459271,24.300000000000075,0.7,0.975,0.7,0.7414285714285714
23:11:23:19:51:10,SS_EfficientNetB0,2,2,2808.002,1.92,0.7,0.99,0.95,0.89,62.94946183952976,74.85459882583145,202.7294520547945,745.23385518591,13105917.996086106,5970176.500978474,4.300000000000001,0.8,1.0,0.8,0.845
23:11:23:19:51:20,SS_DenseNet121,2,2,2808.002,1.92,0.64,1.05,0.95,0.89,63.10004773269632,74.63947494033378,232.21861575179,836.7107398568019,14980464.542243436,6700008.049642005,5.099999999999998,0.9,0.95625,0.9,0.9133333333333332
23:11:23:19:51:35,SS_NASNetMobile,2,2,2808.002,1.92,0.64,1.05,0.95,0.89,62.77045871559582,74.28004587155935,223.85504587155964,804.1256880733945,14412248.073394496,6439081.100917432,8.499999999999986,0.85,1.0,0.85,0.875
23:11:23:19:52:02,SS_ResNet50,2,2,2808.002,1.92,0.55,1.14,0.95,0.89,62.99237668161389,74.22565022421496,256.7744394618834,891.2,16276119.992825111,7133119.713004484,4.999999999999998,0.65,0.9125,0.65,0.7319047619047618
