TimeStamp,Name,CPU_CORES,CPU_CORES_LOG,CPU_FREQ,RAM_TOTAL_GB,RAM_AV_GB,RAM_USED_GB,SWAP_TOTAL_GB,SWAP_USED_GB,CPU%,RAM%,RC,WC,RB,WB,dt,accuracy,precision,recall,f1
23:11:23:18:22:02,SS_MobileNet,4,4,2808.002,3.82,1.91,1.59,0.95,0.0,32.87058823529412,48.88235294117647,8.941176470588236,2.147058823529412,835102.1176470588,14215.529411764706,3.4000000000000017,0.55,1.0,0.55,0.6166666666666667
23:11:23:18:22:28,SS_ConvNeXtTiny,4,4,2808.002,3.82,1.81,1.7,0.95,0.0,35.89254901960783,52.24588235294114,3.094117647058824,0.792156862745098,298156.67450980394,5107.952941176471,22.100000000000044,0.9,1.0,0.9,0.9366666666666668
23:11:23:18:22:35,SS_EfficientNetB0,4,4,2808.002,3.82,1.71,1.79,0.95,0.0,36.22405498281786,52.51821305841922,2.8969072164948453,0.8762886597938144,284608.6597938144,5686.54295532646,3.600000000000002,0.6,1.0,0.6,0.6678571428571429
23:11:23:18:22:43,SS_DenseNet121,4,4,2808.002,3.82,1.82,1.68,0.95,0.0,36.9023598820059,52.55781710914455,2.616519174041298,0.799410029498525,259654.98525073743,5268.011799410029,4.799999999999999,0.85,1.0,0.85,0.8914285714285715
23:11:23:18:22:55,SS_NASNetMobile,4,4,2808.002,3.82,1.74,1.76,0.95,0.0,36.940554156171295,52.72695214105793,2.3400503778337534,0.7153652392947103,236907.6876574308,4787.264483627204,5.799999999999995,0.75,1.0,0.75,0.7966666666666666
23:11:23:18:23:01,SS_ResNet50,4,4,2808.002,3.82,1.64,1.86,0.95,0.0,37.89006928406469,53.19907621247111,2.237875288683602,0.7621247113163973,230492.23094688225,5032.498845265589,3.600000000000002,0.8,1.0,0.8,0.8664285714285714
23:11:23:18:23:08,SS_Xception,4,4,2808.002,3.82,1.43,2.07,0.95,0.0,39.4663157894737,53.94463157894737,2.12,1.223157894736842,221373.7094736842,7329.684210526316,4.200000000000001,0.65,0.925,0.65,0.7416666666666666
23:11:23:18:23:11,SS_MobileNet,4,4,2808.002,3.82,1.47,2.03,0.95,0.0,39.51907630522091,54.29558232931728,2.102409638554217,1.1666666666666667,223338.9236947791,6991.164658634538,2.3000000000000007,0.7,0.975,0.7,0.7166666666666667
23:11:23:18:23:35,SS_ConvNeXtTiny,4,4,2808.002,3.82,1.58,1.93,0.95,0.0,38.70924608819347,55.351778093883226,1.5433854907539115,0.8975817923186344,166904.71692745376,5430.258890469417,20.50000000000002,0.95,1.0,0.95,0.9666666666666666
23:11:23:18:23:40,SS_EfficientNetB0,4,4,2808.002,3.82,1.56,1.94,0.95,0.0,38.73369418132613,55.51583220568322,1.5223274695534506,0.8700947225981055,166932.7848443843,5332.005412719892,3.600000000000002,0.9,1.0,0.9,0.9333333333333332
23:11:23:18:23:49,SS_DenseNet121,4,4,2808.002,3.82,1.65,1.85,0.95,0.0,39.0817258883249,55.59213197969526,1.4784263959390862,0.833756345177665,162852.38578680204,5187.573604060914,4.899999999999999,0.75,1.0,0.75,0.8316666666666667
23:11:23:18:24:00,SS_NASNetMobile,4,4,2808.002,3.82,1.62,1.88,0.95,0.0,38.98649289099528,55.67109004739322,1.4253554502369667,0.8625592417061612,159016.03791469193,5416.037914691943,5.599999999999996,0.85,0.9666666666666666,0.85,0.8714285714285716
23:11:23:18:24:06,SS_ResNet50,4,4,2808.002,3.82,1.53,1.97,0.95,0.0,39.33647727272727,55.879318181818064,25.59318181818182,3.3625,2129356.8,28699.92727272728,3.600000000000002,0.75,1.0,0.75,0.8261904761904763
23:11:23:18:24:12,SS_Xception,4,4,2808.002,3.82,1.35,2.15,0.95,0.0,40.10130151843818,56.23297180043373,24.47722342733189,3.279826464208243,2037946.585683297,27712.416485900216,4.200000000000001,0.7,1.0,0.7,0.7583333333333333
23:11:23:18:24:16,SS_MobileNet,4,4,2808.002,3.82,1.66,1.84,0.95,0.0,40.039345991561206,56.25959915611805,47.41666666666666,5.761603375527426,3834236.219409283,50258.09282700422,2.600000000000001,0.9,1.0,0.9,0.94
23:11:23:18:24:38,SS_ConvNeXtTiny,4,4,2808.002,3.82,1.5,2.01,0.95,0.0,39.57902523933857,57.00487380330734,39.154917319408185,4.78503046127067,3168286.3011314184,41708.61618798956,20.100000000000016,0.9,1.0,0.9,0.9166666666666669
23:11:23:18:24:44,SS_EfficientNetB0,4,4,2808.002,3.82,1.62,1.88,0.95,0.0,39.53560033585223,57.06884970612943,56.62972292191436,6.741393786733837,4539836.50713686,59524.40638119228,4.200000000000001,0.85,0.975,0.85,0.8755555555555556
23:11:23:18:24:52,SS_DenseNet121,4,4,2808.002,3.82,1.57,1.93,0.95,0.0,39.62702265372169,57.12435275080918,54.6294498381877,6.519417475728155,4379369.631067961,57562.71844660194,4.5,0.75,1.0,0.75,0.7928571428571429
23:11:23:18:25:03,SS_NASNetMobile,4,4,2808.002,3.82,1.61,1.9,0.95,0.0,39.57399380804954,57.17825077399399,52.29334365325077,6.246904024767802,4195112.421052632,55194.55108359133,5.599999999999996,0.85,1.0,0.85,0.908095238095238
23:11:23:18:25:09,SS_ResNet50,4,4,2808.002,3.82,1.46,2.04,0.95,0.0,39.87661654135338,57.32849624060174,67.81278195488721,8.121052631578948,5417283.368421053,72101.91879699248,3.800000000000002,0.75,1.0,0.75,0.8033333333333333
23:11:23:18:25:15,SS_Xception,4,4,2808.002,3.82,1.47,2.04,0.95,0.0,40.36101818181819,57.45789090909118,65.61963636363636,7.855272727272728,5242921.7047272725,69742.21963636363,4.5,0.95,1.0,0.95,0.97
23:11:23:18:25:18,SS_MobileNet,4,4,2808.002,3.82,1.5,2.0,0.95,0.0,40.34213161659515,57.508226037196266,64.56580829756795,7.739628040057225,5160192.366237482,68682.71244635193,2.3000000000000007,0.8,1.0,0.8,0.85
23:11:23:18:25:41,SS_ConvNeXtTiny,4,4,2808.002,3.82,1.32,2.19,0.95,0.0,40.0044971892567,58.41911305434135,70.58276077451593,8.62523422860712,5629968.629606496,76429.67145534042,20.30000000000002,0.6,1.0,0.6,0.65
23:11:23:18:25:47,SS_EfficientNetB0,4,4,2808.002,3.82,1.53,1.97,0.95,0.0,39.99316239316238,58.47844932844963,69.01037851037852,8.43894993894994,5505491.614163614,74823.2673992674,3.700000000000002,0.9,1.0,0.9,0.9375
23:11:23:18:25:55,SS_DenseNet121,4,4,2808.002,3.82,1.5,2.01,0.95,0.0,40.068449197860936,58.52994652406444,80.8288770053476,10.074866310160427,6433270.569221628,89221.247771836,4.5,0.7,1.0,0.7,0.745
23:11:23:18:26:06,SS_NASNetMobile,4,4,2808.002,3.82,1.53,1.98,0.95,0.0,40.03471502590673,58.56511226252185,78.33909038572251,9.77489925158319,6236767.207829591,86589.01554404145,5.399999999999997,0.85,1.0,0.85,0.9033333333333332
23:11:23:18:26:13,SS_ResNet50,4,4,2808.002,3.82,1.39,2.11,0.95,0.0,40.17460585585584,58.67449324324355,76.63907657657657,9.570382882882884,6102601.801801802,84752.14414414414,3.900000000000002,0.75,1.0,0.75,0.8047619047619048
23:11:23:18:26:20,SS_Xception,4,4,2808.002,3.82,1.29,2.21,0.95,0.0,40.49516217702031,58.82451896646543,74.84936778449698,9.34414513468939,5961744.88840022,82748.65750412314,4.300000000000001,0.9,1.0,0.9,0.9428571428571428
23:11:23:18:26:23,SS_MobileNet,4,4,2808.002,3.82,1.33,2.18,0.95,0.0,40.518132464712245,58.9034201954401,73.93376764386537,9.237785016286646,5890419.352877308,81782.13246471227,2.3000000000000007,0.8,1.0,0.8,0.8333333333333333
23:11:23:18:26:47,SS_ConvNeXtTiny,4,4,2808.002,3.82,1.11,2.4,0.95,0.0,40.08405655777674,60.003169185763234,78.37786445636274,10.05558264261336,6195624.378352024,88793.93076548025,20.900000000000027,0.85,1.0,0.85,0.8928571428571429
23:11:23:18:26:53,SS_EfficientNetB0,4,4,2808.002,3.82,1.48,2.03,0.95,0.0,40.1182646212848,60.01711409395993,77.08005752636625,9.89261744966443,6093775.89261745,87402.27804410354,3.5000000000000018,0.8,1.0,0.8,0.8566666666666667
23:11:23:18:27:01,SS_DenseNet121,4,4,2808.002,3.82,1.43,2.08,0.95,0.0,40.18817456593154,60.05959643359945,87.01454716095729,11.418113561708118,6841098.451431253,100852.70764899108,4.5,0.55,0.875,0.55,0.6683333333333333
23:11:23:18:27:12,SS_NASNetMobile,4,4,2808.002,3.82,1.46,2.05,0.95,0.0,40.157978966621016,60.10091449474184,84.8047553726566,11.175125743026978,6668664.449931413,98584.93278463648,5.599999999999996,0.8,1.0,0.8,0.85
23:11:23:18:27:19,SS_ResNet50,4,4,2808.002,3.82,1.34,2.17,0.95,0.0,40.27743382682824,60.18941229250801,83.22296994167789,10.969941677882458,6545755.30551817,96822.89816061014,4.200000000000001,0.65,0.975,0.65,0.6964285714285714
23:11:23:18:27:24,SS_Xception,4,4,2808.002,3.82,1.24,2.27,0.95,0.0,40.59234154929581,60.3138644366199,81.66549295774648,10.77068661971831,6424278.535211268,95040.9014084507,4.300000000000001,0.9,1.0,0.9,0.9430769230769231
23:11:23:18:27:28,SS_MobileNet,4,4,2808.002,3.82,1.24,2.27,0.95,0.0,40.59224400871463,60.38313725490215,80.86187363834422,10.675816993464052,6361787.621786492,94181.22875816992,2.3000000000000007,0.7,1.0,0.7,0.7333333333333333
23:11:23:18:27:50,SS_ConvNeXtTiny,4,4,2808.002,3.82,1.08,2.44,0.95,0.0,40.39162660256412,61.27487980769273,74.47435897435898,9.907852564102564,5854542.769230769,87184.41025641025,20.100000000000016,0.75,1.0,0.75,0.75
23:11:23:18:27:57,SS_EfficientNetB0,4,4,2808.002,3.82,1.38,2.12,0.95,0.0,40.36397000789268,61.30505130228933,73.38161010260458,9.764009471191793,5769036.5777427,85967.50749802684,3.800000000000002,0.9,1.0,0.9,0.9366666666666668
23:11:23:18:28:04,SS_DenseNet121,4,4,2808.002,3.82,1.34,2.17,0.95,0.0,40.41236913532377,61.36188445133813,72.12369135323769,9.598681659557968,5670989.0283055445,84562.78557580458,4.5,0.7,1.0,0.7,0.7514285714285714
23:11:23:18:28:16,SS_NASNetMobile,4,4,2808.002,3.82,1.39,2.13,0.95,0.0,40.37184060721066,61.40698292220152,80.18557874762809,11.2,6278855.55370019,98552.71347248578,5.599999999999996,0.9,1.0,0.9,0.92
23:11:23:18:28:22,SS_ResNet50,4,4,2808.002,3.82,1.24,2.27,0.95,0.0,40.47198952879583,61.49349289454037,79.037397157816,11.036649214659686,6189543.108451758,97115.33283470456,3.900000000000002,0.8,1.0,0.8,0.8472222222222221
23:11:23:18:28:28,SS_Xception,4,4,2808.002,3.82,1.19,2.31,0.95,0.0,40.71394920868608,61.63290393816743,77.80125138019875,10.862716231137284,6093913.322046375,95581.37357379464,4.300000000000001,0.75,1.0,0.75,0.8247619047619047
