TimeStamp,Name,CPU_CORES,CPU_CORES_LOG,CPU_FREQ,RAM_TOTAL_GB,RAM_AV_GB,RAM_USED_GB,SWAP_TOTAL_GB,SWAP_USED_GB,CPU%,RAM%,RC,WC,RB,WB,dt,PRED
23:10:27:12:27:03,ResNet50,4,4,2808.004,11.68,7.94,3.33,0.95,0.0,45.37142857142857,30.74285714285714,1.3333333333333333,136.28571428571428,80749.71428571429,1254156.1904761903,0.1,True
23:10:27:12:52:25,ResNet50,4,4,2808.004,11.68,7.94,3.33,0.95,0.0,39.333333333333336,31.880952380952376,0.0,26.952380952380956,0.0,157598.47619047618,0.1,True
23:10:27:13:02:52,ResNet50,4,4,2808.004,11.68,8.06,3.20,0.95,0.00,39.544444444444444,30.71111111111111,0.0,0.0,0.0,0.0,0.8999999999999999,True
