TimeStamp,Name,CPU_CORES,CPU_CORES_LOG,CPU_FREQ,RAM_TOTAL_GB,RAM_AV_GB,RAM_USED_GB,SWAP_TOTAL_GB,SWAP_USED_GB,CPU%,RAM%,RC,WC,RB,WB,dt,accuracy,precision,recall,f1
23:11:23:17:11:07,SS_MobileNet,2,2,2808.002,3.82,1.94,1.56,0.95,0.0,60.99736842105264,48.74999999999997,7.973684210526316,0.5789473684210527,784707.3684210526,4527.1578947368425,3.800000000000002,0.75,1.0,0.75,0.8400000000000001
23:11:23:17:11:35,SS_ConvNeXtTiny,2,2,2808.002,3.82,1.82,1.69,0.95,0.0,64.19671532846725,51.735401459854,110.2007299270073,5.204379562043796,4557980.963503649,84610.80291970803,23.600000000000065,0.7,1.0,0.7,0.758095238095238
23:11:23:17:11:42,SS_EfficientNetB0,2,2,2808.002,3.82,1.73,1.76,0.95,0.0,64.59193548387111,52.004193548387065,97.54516129032258,4.670967741935484,4046530.890322581,75339.97419354839,3.600000000000002,0.75,1.0,0.75,0.7833333333333333
23:11:23:17:11:51,SS_DenseNet121,2,2,2808.002,3.82,1.83,1.67,0.95,0.0,65.4075418994415,52.01229050279322,84.59497206703911,4.081005586592179,3521736.223463687,65536.0,4.799999999999999,0.6,1.0,0.6,0.6616666666666667
23:11:23:17:12:03,SS_NASNetMobile,2,2,2808.002,3.82,1.78,1.72,0.95,0.0,65.27494033412904,52.15513126491639,72.3890214797136,3.687350835322196,3023786.46300716,57187.58949880668,6.099999999999994,0.7,1.0,0.7,0.74
23:11:23:17:12:10,SS_ResNet50,2,2,2808.002,3.82,1.65,1.85,0.95,0.0,66.02451193058587,52.67917570498907,137.13882863340564,7.043383947939263,6236901.900216919,106051.74837310196,4.200000000000001,0.8,0.9625,0.8,0.8166666666666667
23:11:23:17:12:18,SS_Xception,2,2,2808.002,3.82,1.51,2.0,0.95,0.0,67.67170542635677,53.51279069767434,122.61434108527132,6.325581395348837,5583610.046511628,94938.2945736434,5.4999999999999964,0.95,1.0,0.95,0.9666666666666666
23:11:23:17:12:21,SS_MobileNet,2,2,2808.002,3.82,1.49,2.0,0.95,0.0,67.74574074074091,53.82388888888881,117.2462962962963,6.044444444444444,5347813.451851852,90718.81481481482,2.400000000000001,0.8,1.0,0.8,0.8533333333333333
23:11:23:17:12:46,SS_ConvNeXtTiny,2,2,2808.002,3.82,1.61,1.9,0.95,0.0,67.32519685039367,54.92545931758548,83.72965879265092,4.800524934383202,3808172.682414698,68116.15748031496,22.200000000000045,0.9,1.0,0.9,0.9414285714285716
23:11:23:17:12:52,SS_EfficientNetB0,2,2,2808.002,3.82,1.56,1.94,0.95,0.0,67.48264150943389,55.08918238993724,80.29685534591195,4.617610062893082,3655249.791194968,65453.56477987421,3.3000000000000016,0.9,1.0,0.9,0.9428571428571428
23:11:23:17:13:00,SS_DenseNet121,2,2,2808.002,3.82,1.66,1.85,0.95,0.0,67.52434988179661,55.173877068558006,75.49881796690308,4.355791962174941,3441191.943262412,61682.08037825059,5.099999999999998,0.9,1.0,0.9,0.92
23:11:23:17:13:12,SS_NASNetMobile,2,2,2808.002,3.82,1.61,1.89,0.95,0.0,67.44364640883965,55.26552486187848,70.62541436464089,4.184530386740332,3229213.9845303865,58348.76464088398,5.899999999999995,0.8,1.0,0.8,0.8428571428571429
23:11:23:17:13:18,SS_ResNet50,2,2,2808.002,3.82,1.57,1.93,0.95,0.0,67.79208860759482,55.49335443037978,104.38607594936708,6.815400843881856,5028548.5907173,89533.02953586497,4.300000000000001,0.9,1.0,0.9,0.938095238095238
23:11:23:17:13:25,SS_Xception,2,2,2808.002,3.82,1.42,2.09,0.95,0.0,68.48762475049885,55.86347305389225,98.79241516966069,6.44810379241517,4761767.600798403,84707.89620758482,5.399999999999997,0.55,1.0,0.55,0.6166666666666667
23:11:23:17:13:29,SS_MobileNet,2,2,2808.002,3.82,1.68,1.82,0.95,0.0,68.56177042801538,55.8742217898833,96.32879377431908,6.302529182879377,4646075.26848249,82677.04280155642,2.600000000000001,0.55,0.9,0.55,0.6047619047619047
23:11:23:17:13:53,SS_ConvNeXtTiny,2,2,2808.002,3.82,1.56,1.94,0.95,0.0,68.16426282051235,56.40753205128243,107.5400641025641,7.580929487179487,5317139.692307692,96085.33333333331,22.000000000000043,0.85,1.0,0.85,0.908095238095238
23:11:23:17:14:00,SS_EfficientNetB0,2,2,2808.002,3.82,1.67,1.83,0.95,0.0,68.14945652173866,56.44060559006251,104.29891304347828,7.355590062111801,5156046.708074534,93222.16149068324,4.000000000000002,0.9,1.0,0.9,0.9428571428571428
23:11:23:17:14:07,SS_DenseNet121,2,2,2808.002,3.82,1.61,1.9,0.95,0.0,68.27986526946053,56.47522455089854,100.58458083832336,7.133233532934132,4974631.856287425,90210.10778443114,4.799999999999999,0.75,1.0,0.75,0.813095238095238
23:11:23:17:14:19,SS_NASNetMobile,2,2,2808.002,3.82,1.62,1.89,0.95,0.0,68.19336188436769,56.516916488223046,95.94646680942184,6.812276945039257,4747883.808708066,86147.56316916489,6.499999999999993,0.9,1.0,0.9,0.9333333333333332
23:11:23:17:14:26,SS_ResNet50,2,2,2808.002,3.82,1.51,1.99,0.95,0.0,68.37027027026964,56.65647955647976,117.71101871101872,8.812196812196813,5914025.06999307,109107.44837144836,4.200000000000001,0.75,1.0,0.75,0.8255952380952382
23:11:23:17:14:33,SS_Xception,2,2,2808.002,3.82,1.56,1.94,0.95,0.0,68.80233177881347,56.7644903397737,113.18787475016656,8.514990006662225,5689158.438374417,105082.45702864756,5.799999999999995,0.85,0.9333333333333332,0.85,0.8642857142857142
23:11:23:17:14:36,SS_MobileNet,2,2,2808.002,3.82,1.58,1.92,0.95,0.0,68.80563564875423,56.789252948886194,111.35910878112712,8.375491480996068,5599457.467889909,103360.92267365662,2.500000000000001,0.7,1.0,0.7,0.7928571428571429
23:11:23:17:15:01,SS_ConvNeXtTiny,2,2,2808.002,3.82,1.4,2.11,0.95,0.0,68.47173165137536,57.53016055045872,97.46330275229356,7.4202981651376145,4903104.587155963,91699.66972477065,21.80000000000004,0.8,1.0,0.8,0.8466666666666667
23:11:23:17:15:07,SS_EfficientNetB0,2,2,2808.002,3.82,1.62,1.88,0.95,0.0,68.47292600896783,57.5536995515695,115.2713004484305,9.286995515695068,5861803.049327354,112750.2062780269,4.000000000000002,0.8,0.975,0.8,0.8083333333333332
23:11:23:17:15:15,SS_DenseNet121,2,2,2808.002,3.82,1.58,1.93,0.95,0.0,68.55924713584207,57.57834151663942,131.67048554282596,11.058919803600654,6748290.723404256,132573.643207856,4.899999999999999,0.9,1.0,0.9,0.9214285714285716
23:11:23:17:15:27,SS_NASNetMobile,2,2,2808.002,3.82,1.59,1.92,0.95,0.0,68.5845910290229,57.5966226912929,127.38153034300792,10.703430079155671,6530385.730870713,128335.56939313984,6.199999999999994,0.65,1.0,0.65,0.7033333333333334
23:11:23:17:15:34,SS_ResNet50,2,2,2808.002,3.82,1.46,2.04,0.95,0.0,68.73783505154555,57.69556701030928,124.4458762886598,10.461855670103091,6382412.5360824745,125396.7175257732,4.5,0.75,0.92,0.75,0.7999999999999999
23:11:23:17:15:41,SS_Xception,2,2,2808.002,3.82,1.37,2.14,0.95,0.0,69.07818909454649,57.86943471735868,120.79189594797398,10.159579789894948,6197077.930965483,121732.54627313656,5.899999999999995,0.75,1.0,0.75,0.8303571428571429
23:11:23:17:15:45,SS_MobileNet,2,2,2808.002,3.82,1.39,2.11,0.95,0.0,69.08917984189647,57.93725296442689,119.31669960474308,10.04199604743083,6123054.545454546,120342.26086956522,2.500000000000001,0.45,1.0,0.45,0.5381818181818182
23:11:23:17:16:10,SS_ConvNeXtTiny,2,2,2808.002,3.82,1.26,2.26,0.95,0.0,68.79848282016906,58.78295403837574,107.78625613565372,9.147701918786256,5532480.542614904,109997.97947344936,21.70000000000004,0.85,1.0,0.85,0.8914285714285715
23:11:23:17:16:17,SS_EfficientNetB0,2,2,2808.002,3.82,1.55,1.96,0.95,0.0,68.78711091626433,58.79978079789572,105.9127575624726,9.012275317843052,5437713.84480491,108248.6067514248,4.000000000000002,0.75,1.0,0.75,0.8247619047619048
23:11:23:17:16:25,SS_DenseNet121,2,2,2808.002,3.82,1.51,2.0,0.95,0.0,68.84443967367925,58.83258909403175,119.65993988836412,10.630742808072132,6165586.218978102,126622.50236152856,4.799999999999999,0.85,1.0,0.85,0.9047619047619048
23:11:23:17:16:37,SS_NASNetMobile,2,2,2808.002,3.82,1.51,2.0,0.95,0.0,68.83900501672207,58.866638795986674,116.52508361204012,10.35953177257525,6005564.789297659,123393.71237458194,6.299999999999994,0.8,1.0,0.8,0.8642857142857142
23:11:23:17:16:45,SS_ResNet50,2,2,2808.002,3.82,1.46,2.05,0.95,0.0,68.96214666120412,58.93015157722265,129.61614092585006,11.91028267103646,6692535.11183941,141046.0368701352,4.899999999999999,0.7,1.0,0.7,0.7628571428571429
23:11:23:17:16:53,SS_Xception,2,2,2808.002,3.82,1.32,2.19,0.95,0.0,69.2610732879453,59.06627953544277,126.72446936323588,11.667601121345614,6544866.678414097,137994.35482579094,5.599999999999996,0.8,0.95,0.8,0.845
23:11:23:17:16:56,SS_MobileNet,2,2,2808.002,3.82,1.34,2.17,0.95,0.0,69.28858501783569,59.12544589774102,125.4336107808165,11.554894966309949,6480096.038049941,136621.00039635354,2.600000000000001,0.75,1.0,0.75,0.8
23:11:23:17:17:21,SS_ConvNeXtTiny,2,2,2808.002,3.82,1.15,2.36,0.95,0.0,69.02340735347653,59.97211503458322,115.26137604659628,10.68511103021478,5954098.883145249,126619.63159810702,22.40000000000005,0.8,1.0,0.8,0.8380952380952381
23:11:23:17:17:27,SS_EfficientNetB0,2,2,2808.002,3.82,1.47,2.04,0.95,0.0,69.0084289813487,59.9954447632711,113.58070301291248,10.532639885222382,5868704.137733142,124842.78909612626,4.100000000000001,0.9,1.0,0.9,0.9
23:11:23:17:17:35,SS_DenseNet121,2,2,2808.002,3.82,1.43,2.09,0.95,0.0,69.04334038054976,60.03276955602532,111.59584214235376,10.385130373502466,5767277.688513038,122891.54615926708,4.999999999999998,0.8,1.0,0.8,0.85
23:11:23:17:17:47,SS_NASNetMobile,2,2,2808.002,3.82,1.43,2.08,0.95,0.0,69.02965897347586,60.07940062004812,109.11023079572855,10.156734412676542,5640114.397519807,120221.76231484672,6.499999999999993,0.85,1.0,0.85,0.8928571428571429
23:11:23:17:17:54,SS_ResNet50,2,2,2808.002,3.82,1.37,2.14,0.95,0.0,69.14071186440695,60.14033898305073,120.40271186440678,11.71728813559322,6233585.768135593,137772.77830508474,4.699999999999999,0.6,0.925,0.6,0.6782142857142858
23:11:23:17:18:02,SS_Xception,2,2,2808.002,3.82,1.23,2.28,0.95,0.0,69.42291597475943,60.32298239787428,117.9807372965792,11.496844902025906,6109410.497509133,135087.73962138823,6.099999999999994,0.75,1.0,0.75,0.77
23:11:23:17:18:05,SS_MobileNet,2,2,2808.002,3.82,1.22,2.28,0.95,0.0,69.44459815546796,60.383827404479405,117.02239789196312,11.435111989459816,6061180.121212121,134139.95256916995,2.500000000000001,0.85,1.0,0.85,0.8722222222222221
23:11:23:17:18:29,SS_ConvNeXtTiny,2,2,2808.002,3.82,1.03,2.47,0.95,0.0,69.22823348694354,61.20749615975425,109.19109062980031,10.707219662058373,5655250.934562212,125980.62795698924,21.90000000000004,0.85,1.0,0.85,0.8866666666666667
23:11:23:17:18:36,SS_EfficientNetB0,2,2,2808.002,3.82,1.37,2.13,0.95,0.0,69.23342440801495,61.2390710382514,107.92622950819673,10.584395871281115,5589988.021857924,124571.12325440194,3.900000000000002,0.9,1.0,0.9,0.92
23:11:23:17:18:44,SS_DenseNet121,2,2,2808.002,3.82,1.33,2.17,0.95,0.0,69.27869539198122,61.291472172351966,106.38809096349492,10.437163375224417,5511637.409934172,122870.19509275883,4.799999999999999,0.95,1.0,0.95,0.95
23:11:23:17:18:56,SS_NASNetMobile,2,2,2808.002,3.82,1.34,2.16,0.95,0.0,69.27054673721379,61.34950029394482,104.52910052910052,10.258377425044092,5416258.069370958,120797.08406819518,5.999999999999995,0.7,0.975,0.7,0.7766666666666667
23:11:23:17:19:03,SS_ResNet50,2,2,2808.002,3.82,1.25,2.25,0.95,0.0,69.34409038238745,61.43606604866749,103.03012746234069,10.11326767091541,5339451.624565469,119125.72885283892,4.999999999999998,0.9,1.0,0.9,0.9333333333333332
23:11:23:17:19:10,SS_Xception,2,2,2808.002,3.82,1.21,2.29,0.95,0.0,69.52854700854749,61.578746438746485,101.4,9.946153846153846,5253769.992022792,117157.26951566953,5.799999999999995,0.85,1.0,0.85,0.8999999999999998
23:11:23:17:19:14,SS_MobileNet,2,2,2808.002,3.82,1.22,2.27,0.95,0.0,69.55701357466113,61.6265554298643,100.66855203619907,9.87302036199095,5216457.556561086,116295.81900452488,2.600000000000001,0.7,1.0,0.7,0.7616666666666667
23:11:23:17:19:38,SS_ConvNeXtTiny,2,2,2808.002,3.82,1.07,2.44,0.95,0.0,69.4014118273847,62.22184336707512,94.83484283431008,9.354288758657432,4915112.711774108,110738.20777836976,21.80000000000004,0.75,0.9666666666666666,0.75,0.7633333333333334
23:11:23:17:19:45,SS_EfficientNetB0,2,2,2808.002,3.82,1.38,2.11,0.95,0.0,69.40766798419033,62.236047430830105,93.82081686429513,9.2566534914361,4863546.148089591,109619.53728590252,4.100000000000001,0.8,1.0,0.8,0.8300000000000001
23:11:23:17:19:53,SS_DenseNet121,2,2,2808.002,3.82,1.34,2.16,0.95,0.0,69.46820192557962,62.26861826697896,92.6567785584179,9.144678636481917,4804227.497267759,108329.23445225084,4.799999999999999,0.65,0.95,0.65,0.7523809523809524
23:11:23:17:20:05,SS_NASNetMobile,2,2,2808.002,3.82,1.34,2.16,0.95,0.0,69.45153609831104,62.30343061955967,91.17204301075267,9.000512032770096,4728080.122887865,106659.58832565285,6.299999999999994,0.85,1.0,0.85,0.8928571428571429
23:11:23:17:20:11,SS_ResNet50,2,2,2808.002,3.82,1.24,2.26,0.95,0.0,69.51880536573097,62.363376360415074,90.14274867122248,8.901543912933434,4675299.42596811,105463.44722854972,4.5,0.95,1.0,0.95,0.97
23:11:23:17:20:19,SS_Xception,2,2,2808.002,3.82,1.24,2.26,0.95,0.0,69.66583603289394,62.44831796660853,98.68602043359084,10.493396461500124,5128331.833540992,123680.21530027413,6.199999999999994,0.75,1.0,0.75,0.7916666666666666
23:11:23:17:20:23,SS_MobileNet,2,2,2808.002,3.82,1.27,2.22,0.95,0.0,69.68400594206575,62.478261946026265,107.93265659816788,12.156474374845258,5618590.39168111,142663.3047784105,2.600000000000001,0.8,1.0,0.8,0.8580952380952382
23:11:23:17:20:48,SS_ConvNeXtTiny,2,2,2808.002,3.82,1.1,2.4,0.95,0.0,69.55430852312863,62.89295609297973,111.7367926743367,13.21883071143461,5825724.739140644,155195.98779056116,22.000000000000043,0.7,0.975,0.7,0.7566666666666666
23:11:23:17:20:54,SS_EfficientNetB0,2,2,2808.002,3.82,1.32,2.18,0.95,0.0,69.54748837209422,62.92565116279096,110.6793023255814,13.095581395348836,5771424.982325582,153788.6065116279,4.100000000000001,0.8,1.0,0.8,0.862857142857143
23:11:23:17:21:02,SS_DenseNet121,2,2,2808.002,3.82,1.26,2.25,0.95,0.0,69.61581245690772,62.97285681452564,118.5805561939784,14.62514364513905,6193204.717995863,171917.15008044126,5.099999999999998,0.8,0.95,0.8,0.8699999999999999
23:11:23:17:21:14,SS_NASNetMobile,2,2,2808.002,3.82,1.28,2.22,0.95,0.0,69.58581142339206,63.02243880326412,116.9496826835902,14.42792384406165,6108548.990027199,169623.78966455124,6.099999999999994,0.9,1.0,0.9,0.9414285714285716
23:11:23:17:21:20,SS_ResNet50,2,2,2808.002,3.82,1.16,2.33,0.95,0.0,69.64618491921141,63.088734290844,124.79421005385996,15.94524236983842,6528561.637342908,187695.3393177738,4.4,0.85,1.0,0.85,0.9047619047619048
23:11:23:17:21:27,SS_Xception,2,2,2808.002,3.82,1.0,2.52,0.95,0.0,69.8139787328326,63.24237926451064,123.19960124058484,15.75897208684094,6445778.289765175,185408.8790429774,5.799999999999995,0.8,1.0,0.8,0.8464285714285715
23:11:23:17:21:31,SS_MobileNet,2,2,2808.002,3.82,1.24,2.27,0.95,0.0,69.82247908410535,63.29205195948944,122.44892118009687,15.665785997357991,6406796.005284016,184350.6613826508,2.800000000000001,0.7,0.95,0.7,0.7583333333333333
23:11:23:17:21:56,SS_ConvNeXtTiny,2,2,2808.002,3.82,1.13,2.38,0.95,0.0,69.67151858853347,63.61615206889296,116.82482671707623,14.979206049149338,6113182.353287125,176798.19197647553,21.90000000000004,0.85,1.0,0.85,0.8916666666666666
23:11:23:17:22:02,SS_EfficientNetB0,2,2,2808.002,3.82,1.08,2.43,0.95,0.0,69.69239266361151,63.67682367653178,115.93184660275116,14.866194247603168,6067144.937057107,175506.51438099207,3.700000000000002,0.85,1.0,0.85,0.8914285714285715
23:11:23:17:22:10,SS_DenseNet121,2,2,2808.002,3.82,1.21,2.31,0.95,0.0,69.70643166357624,63.72719027004727,114.6734693877551,14.713667285095855,6002185.182436611,173692.01566687282,5.299999999999997,0.75,1.0,0.75,0.8114285714285714
23:11:23:17:22:22,SS_NASNetMobile,2,2,2808.002,3.82,1.21,2.31,0.95,0.0,69.68337741607503,63.78453713123076,113.19043743641912,14.524516785350968,5925075.258596134,171501.97843336724,6.399999999999993,0.7,0.975,0.7,0.7297619047619047
23:11:23:17:22:29,SS_ResNet50,2,2,2808.002,3.82,1.09,2.42,0.95,0.0,69.74214559387157,63.8520467836256,120.33030852994555,16.01330913490623,6311391.683807219,189811.894333535,4.4,0.55,1.0,0.55,0.6514285714285715
23:11:23:17:22:36,SS_Xception,2,2,2808.002,3.82,0.96,2.55,0.95,0.00,69.88595057792138,63.991789557592526,119.08449581506576,15.836189717018733,6240795.548824233,187643.8166600239,5.899999999999995,0.75,0.975,0.75,0.7666666666666666
